id,fecha,cliente,segmento,monto,activo
1,2025-02-02,laura,d,3375.68,True
2,2025-10-10,diego,a,4804.91,True
3,2025-08-27,sofia,b,1886.02,False
4,2025-06-10,jose,b,2154.15,False
5,2025-06-08,luis,d,4070.01,True
6,2025-11-10,jose,a,2553.52,True
7,2025-02-01,laura,b,3696.04,False
8,2025-09-12,sofia,a,2325.56,False
9,2025-03-15,diego,d,1116.7,True
10,2025-02-04,sofia,c,3738.76,True
11,2025-07-12,marta,b,699.22,True
12,2025-12-23,laura,b,1032.99,True
13,2025-09-26,luis,a,3152.78,True
14,2025-10-05,marta,d,3748.99,True
15,2025-09-19,sofia,c,4478.71,True
16,2025-10-14,laura,b,1399.3,False
17,2025-07-07,carlos,b,598.09,True
18,2025-02-16,carlos,c,4782.43,True
19,2025-11-03,ana,c,814.39,True
20,2025-06-14,ana,b,1028.45,True
21,2025-07-02,ana,b,1492.08,True
22,2025-05-16,ana,c,2670.49,True
23,2025-03-08,laura,c,4419.99,True
24,2025-12-05,laura,c,3814.7,True
25,2025-10-13,laura,a,3555.38,False
26,2025-08-24,ana,b,917.14,True
27,2025-05-27,ana,c,1820.53,False
28,2025-10-28,marta,d,2418.1,False
29,2025-07-19,sofia,c,779.76,False
30,2025-06-11,marta,b,1403.48,True
31,2025-06-14,carlos,c,1576.25,True
32,2025-03-24,luis,a,680.02,True
33,2025-02-03,diego,a,2773.69,True
34,2025-07-22,marta,c,3539.89,True
35,2025-11-21,ana,d,396.16,False
36,2025-01-24,diego,d,2431.56,True
37,2025-11-10,jose,c,3921.95,True
38,2025-10-30,ana,a,3752.55,True
39,2025-04-12,carlos,d,4084.61,True
40,2025-08-19,laura,b,2268.79,True
41,2025-03-02,diego,b,4111.76,True
42,2025-10-04,laura,d,1241.73,True
43,2025-09-13,carlos,c,1836.01,True
44,2025-05-10,marta,c,922.96,True
45,2025-01-25,diego,b,2364.05,True
46,2025-12-21,luis,d,1990.7,True
47,2025-06-12,luis,b,1242.59,False
48,2025-11-22,sofia,c,3771.31,True
49,2025-09-05,diego,d,1603.54,True
50,2025-10-12,ana,c,1400.38,True
51,2025-10-05,sofia,a,697.91,True
52,2025-03-13,marta,b,2222.17,True
53,2025-05-13,sofia,b,1549.67,True
54,2025-06-20,jose,d,1877.9,False
55,2025-07-01,ana,c,1218.19,True
56,2025-01-16,jose,b,3827.62,True
57,2025-07-19,carlos,c,4653.52,True
58,2025-02-26,laura,c,2514.76,True
59,2025-09-29,carlos,b,3232.84,True
60,2025-09-07,marta,b,4342.5,True
61,2025-12-03,laura,d,4994.21,True
62,2025-09-29,diego,c,3086.91,True
63,2025-05-14,luis,a,4454.41,True
64,2025-12-20,diego,c,4547.61,True
65,2025-05-30,laura,c,3967.68,True
66,2025-04-29,carlos,c,2331.61,True
67,2025-11-27,jose,c,451.71,True
68,2025-05-16,diego,d,128.24,True
69,2025-01-28,marta,b,2412.14,True
70,2025-06-21,ana,b,2496.86,False
71,2025-10-18,diego,a,2066.44,True
72,2025-03-11,luis,c,2862.43,True
73,2025-06-18,laura,b,2783.21,True
74,2025-02-17,sofia,b,4191.23,False
75,2025-09-08,carlos,c,587.85,True
76,2025-06-23,luis,b,1164.63,True
77,2025-05-01,diego,b,3975.37,True
78,2025-03-24,luis,b,4246.79,False
79,2025-07-26,carlos,b,4974.38,True
80,2025-09-02,laura,a,4370.91,False
81,2025-12-10,jose,d,4455.0,True
82,2025-06-09,jose,a,1606.02,False
83,2025-02-28,jose,b,2038.23,True
84,2025-10-31,sofia,c,1377.02,True
85,2025-08-18,luis,a,3051.18,True
86,2025-09-13,laura,c,4697.09,True
87,2025-02-05,laura,c,1755.97,True
88,2025-04-25,jose,c,2807.16,True
89,2025-10-08,diego,b,1516.68,True
90,2025-10-31,luis,a,890.51,True
91,2025-06-08,sofia,d,1016.17,True
92,2025-10-21,carlos,b,336.83,False
93,2025-11-04,laura,d,4749.0,True
94,2025-05-22,carlos,a,2044.25,True
95,2025-11-24,marta,a,4178.9,True
96,2025-04-16,ana,d,3422.58,False
97,2025-03-29,laura,d,1000.01,True
98,2025-09-07,laura,d,918.54,True
99,2025-08-21,ana,d,4069.34,False
100,2025-02-21,carlos,a,1360.32,False
101,2025-10-31,carlos,d,4570.76,True
102,2025-03-14,carlos,c,743.27,True
103,2025-10-21,jose,a,3404.66,True
104,2025-01-03,luis,a,4081.65,True
105,2025-10-18,marta,d,1214.52,True
106,2025-10-15,luis,b,1417.23,True
107,2025-10-12,luis,d,4824.37,True
108,2025-08-31,jose,a,1359.76,True
109,2025-06-22,jose,b,2178.29,True
110,2025-09-15,ana,b,2190.95,True
111,2025-04-12,diego,b,1302.52,False
112,2025-10-12,luis,c,3890.17,False
113,2025-07-22,luis,d,3870.65,True
114,2025-06-17,marta,d,1922.67,True
115,2025-07-04,luis,c,4183.87,True
116,2025-07-27,carlos,a,1104.72,True
117,2025-01-14,jose,d,71.31,True
118,2025-02-21,sofia,c,2877.28,False
119,2025-03-31,diego,c,4970.68,False
120,2025-02-11,carlos,c,241.29,False
121,2025-06-10,ana,d,1079.59,False
122,2025-09-01,ana,d,2618.63,False
123,2025-08-27,marta,c,4059.21,True
124,2025-06-21,luis,c,490.76,False
125,2025-11-09,laura,c,2006.41,True
126,2025-07-26,laura,b,3748.03,True
127,2025-01-29,laura,b,1889.14,True
128,2025-10-07,diego,c,984.74,True
129,2025-07-29,sofia,a,1017.7,True
130,2025-08-20,diego,b,2079.74,True
131,2025-07-26,carlos,c,2423.11,True
132,2025-07-22,diego,d,4315.98,True
133,2025-02-03,laura,c,3229.15,False
134,2025-07-24,laura,b,3467.49,True
135,2025-10-18,sofia,b,4915.79,True
136,2025-04-21,ana,c,2088.63,True
137,2025-08-09,diego,c,2046.6,True
138,2025-01-12,marta,a,4620.57,True
139,2025-05-07,diego,c,1267.08,False
140,2025-06-09,sofia,b,3662.59,True
141,2025-12-25,jose,c,3785.14,True
142,2025-03-20,marta,d,534.05,True
143,2025-04-11,jose,d,2367.75,True
144,2025-05-30,laura,c,1042.78,False
145,2025-12-29,marta,b,967.61,True
146,2025-11-08,carlos,b,2345.95,False
147,2025-01-13,sofia,a,1482.68,True
148,2025-03-27,laura,d,3990.5,True
149,2025-10-27,diego,d,4542.64,True
150,2025-01-22,laura,d,4023.47,False
151,2025-11-09,marta,b,1366.85,False
152,2025-04-13,sofia,b,1406.97,True
153,2025-12-01,carlos,d,1310.91,False
154,2025-04-18,jose,c,718.44,True
155,2025-06-08,marta,c,4721.8,True
156,2025-08-30,sofia,b,2040.14,False
157,2025-02-16,ana,b,1162.21,True
158,2025-07-23,laura,c,4241.02,True
159,2025-07-04,carlos,d,2026.02,True
160,2025-10-14,marta,b,223.83,True
161,2025-12-30,sofia,d,851.61,False
162,2025-08-31,carlos,a,3214.29,True
163,2025-05-30,laura,b,3925.38,True
164,2025-05-29,sofia,d,1094.13,True
165,2025-06-02,sofia,d,4591.11,True
166,2025-10-25,ana,d,4262.44,False
167,2025-04-28,ana,b,4249.48,False
168,2025-03-02,carlos,d,1176.92,True
169,2025-05-03,jose,d,300.15,True
170,2025-01-09,jose,d,4343.75,True
171,2025-02-08,diego,a,1563.71,True
172,2025-02-02,diego,c,3113.64,True
173,2025-10-09,carlos,d,3811.84,True
174,2025-09-21,luis,d,685.05,True
175,2025-09-12,ana,a,3915.15,True
176,2025-06-18,marta,d,4695.63,True
177,2025-09-19,marta,a,3655.46,True
178,2025-02-28,luis,b,2234.05,False
179,2025-11-25,marta,c,4389.56,True
180,2025-07-02,ana,b,2660.92,True
