id,servicio,costo,codigo,fecha,ciudad,sucursal,canal,metodo_pago,cantidad
3057.0,aseo hogar,22479.0,ah157,2026-01-19,cali,norte,app,billetera digital,29.0
3696.0,mercado general,83256.0,mg305,2026-02-11,cali,occidente,caja,efectivo,13.0
3972.0,frutas verduras,67047.0,fv245,2026-01-02,cali,centro,web,transferencia,16.0
646.0,mercado general,202013.0,mg256,2026-01-03,cali,centro,domicilio,,11.0
2502.0,frutas verduras,55419.0,fv162,2026-02-13,bucaramanga,norte,domicilio,tarjeta,17.0
2300.0,mercado general,146328.0,mg250,2026-01-21,medellin,sur,caja,billetera digital,29.0
354.0,mercado general,154396.0,mg051,2026-02-11,bogota,centro,domicilio,efectivo,10.0
2670.0,frutas verduras,73844.0,fv107,2026-01-18,bucaramanga,norte,domicilio,efectivo,3.0
4763.0,aseo hogar,137943.0,ah245,2026-01-14,barranquilla,centro,,tarjeta,27.0
301.0,mercado general,190431.0,mg020,2026-01-28,bucaramanga,sur,caja,,18.0
4614.0,mercado general,221542.0,mg228,2026-02-14,cali,norte,caja,tarjeta,3.0
1548.0,mercado general,117869.0,mg376,2026-01-01,barranquilla,centro,app,tarjeta,17.0
3148.0,mercado general,158217.0,mg296,2026-01-01,cali,sur,web,efectivo,2.0
2217.0,frutas verduras,45528.0,fv275,2026-01-23,bucaramanga,occidente,caja,efectivo,29.0
3922.0,frutas verduras,81087.0,fv101,2026-01-14,barranquilla,occidente,,efectivo,15.0
4173.0,mercado general,189411.0,mg149,2026-01-25,bogota,sur,,billetera digital,7.0
2909.0,aseo hogar,71206.0,ah255,2026-01-11,cali,norte,domicilio,transferencia,21.0
691.0,mercado general,174267.0,mg259,2026-02-20,barranquilla,norte,caja,,23.0
168.0,mercado general,130961.0,mg298,2026-01-21,medellin,sur,domicilio,efectivo,23.0
1452.0,mercado general,169107.0,mg169,2026-02-18,barranquilla,occidente,web,billetera digital,20.0
4498.0,frutas verduras,82233.0,fv230,2026-01-01,barranquilla,sur,web,tarjeta,3.0
3969.0,mercado general,207739.0,mg351,2026-01-08,bogota,occidente,app,transferencia,14.0
3973.0,aseo hogar,33640.0,ah350,2026-02-20,bogota,centro,caja,tarjeta,25.0
426.0,aseo hogar,131608.0,ah107,2026-01-16,bogota,centro,,transferencia,12.0
3230.0,mercado general,182783.0,mg303,2026-01-07,bogota,sur,web,efectivo,15.0
1102.0,aseo hogar,75680.0,ah117,2026-01-05,bucaramanga,centro,web,tarjeta,15.0
4111.0,aseo hogar,49231.0,ah179,2026-02-13,bogota,occidente,app,efectivo,2.0
2250.0,frutas verduras,82452.0,fv303,2026-02-07,bucaramanga,sur,,transferencia,13.0
2659.0,frutas verduras,18766.0,fv301,2026-02-21,bogota,sur,app,billetera digital,15.0
4018.0,mercado general,214328.0,mg153,2026-01-11,medellin,norte,,billetera digital,9.0
4181.0,frutas verduras,26701.0,fv271,2026-01-11,cali,sur,,efectivo,29.0
609.0,aseo hogar,47342.0,ah306,2026-02-14,bogota,sur,web,tarjeta,8.0
1126.0,frutas verduras,45504.0,fv131,2026-01-20,cali,norte,,transferencia,8.0
173.0,frutas verduras,18079.0,fv144,2026-01-01,cali,sur,app,efectivo,11.0
3146.0,aseo hogar,34045.0,ah099,2026-01-25,bogota,sur,caja,tarjeta,23.0
3179.0,mercado general,224168.0,mg239,2026-01-24,barranquilla,norte,web,billetera digital,27.0
4347.0,mercado general,239277.0,mg312,2026-01-02,bogota,centro,caja,,8.0
